arm,instrument_id,signal_date,entry_date,exit_date,entry_price,stop_price,exit_price,shares,initial_risk_per_share,costs,mfe,mae,exit_reason,gross_r,net_r,holding_days
ranked,N052,2018-06-18,2018-06-19,2018-07-02,130.6235665550,121.4138903731545547090913510,121.1103556472216683223186226,108,9.2096761818454452909086490,1.080,0.4259937447891736677458597270,-1.146751671445166113114076498,stop,-1.032958240869665816671870285,-1.034044055376337883911900188,13
ranked,N042,2018-07-16,2018-07-17,2018-08-06,18.7820500300,17.59339247815299605068468134,19.92078081289238643944203036,841,1.18865755184700394931531866,8.410,1.085904824307328465565046115,-0.5570797316443844869948488985,target,0.9579973484566362729189914021,0.9495844965091082155504830306,20
ranked,N083,2018-02-26,2018-02-27,2018-03-01,267.9668926150,255.5899565402705045176915228,254.9509816489198282563972940,80,12.3769360747294954823084772,0.800,0.01056225742871158348060607000,-1.209257002268803386557348714,stop,-1.051626257701637309073201177,-1.052434212104861336011238090,2
ranked,N027,2017-11-06,2017-11-07,2017-11-15,427.9878403475,403.1986267637883376729116005,451.6451112963836331712706785,40,24.7892135837116623270883995,0.400,1.217359298252557689817008335,-0.4004151771084056338963658851,target,0.9543372914592256863045628220,0.9539338901989868082166976655,8
ranked,N129,2017-12-04,2017-12-05,2017-12-21,176.3900865275,166.2746457077917300696372117,165.8589590935222507444631187,98,10.1154408197082699303627883,0.980,0.6556145788109373256885591630,-1.142245477328908672577647748,stop,-1.041094265853405265457644881,-1.042082853516388439407721390,16
ranked,N115,2017-01-02,2017-01-03,2017-01-31,137.1646745450,129.5374753596116385232643799,130.6441470600,131,7.6271991853883614767356201,1.310,0.7354116915873352046786099628,-0.9047809526490841124017322394,time,-0.8549045759145187443311536463,-0.8562156731806236179682765080,28
ranked,N083,2018-01-29,2018-01-30,2018-02-06,233.9533117175,220.5438968343744214913220536,246.7443197841240145624062515,74,13.4094148831255785086779464,0.740,1.228506271606998500123153283,-0.1162007985494446332890731147,target,0.9538826397802213040117530204,0.9531368950861270068554271170,7
ranked,N055,2017-09-11,2017-09-12,2017-09-18,42.7689647725,40.17526802454707472063924460,45.24925486665179296616235351,385,2.59369674795292527936075540,3.850,1.228860401670152481570390717,-0.04744454901951145095507844152,target,0.9562760550590046829592798037,0.9524205542153179650295471316,6
ranked,N003,2017-06-19,2017-06-20,2017-06-28,102.2906849900,95.52069216824258253507205158,108.7880261172280239212656285,147,6.76999282175741746492794842,1.470,1.143546856522413679957795789,-0.2982905659087211483702536873,target,0.9597264425963429470067953878,0.9582493361557183752153457154,8
ranked,N024,2017-06-19,2017-06-20,2017-06-27,175.3116682050,164.6929478370403345549328737,164.2812154674477337185455415,94,10.6187203679596654450671263,0.940,0.2025580974417623058278054795,-1.205725526366797382311217638,stop,-1.038774198333251068846677332,-1.039715931390858786084169632,7
ranked,N052,2018-05-21,2018-05-22,2018-06-06,120.8363415100,114.1145904554832276679413301,127.2391973331054804012285232,148,6.7217510545167723320586699,1.480,1.347547598317172768811317967,-0.9878826895170357135838506943,target,0.9525577146751059860949428716,0.9510700070943141679330837564,15
ranked,N017,2017-04-24,2017-04-25,2017-04-28,336.1327502850,317.5964025917520251901183550,316.8024115852726451271430591,53,18.5363476932479748098816450,0.530,0.02598698098306953695159765298,-1.218114844340384385077291914,stop,-1.042834274562544927004257971,-1.043373755163874097507989661,3
ranked,N123,2017-09-11,2017-09-12,2017-09-13,158.8401501000,149.3989872655524691388029846,167.8606096521114120340440229,105,9.4411628344475308611970154,1.050,1.034786505784452727289041217,-0.1772234129778051292707709859,target,0.9554394633676777222484108933,0.9543802718067067085915410460,1
ranked,N055,2017-10-09,2017-10-10,2017-10-20,40.9477530975,38.33649061542489462630494842,38.24064938888633238973918605,382,2.61126248207510537369505158,3.820,0.02735531299145187542093744507,-1.051646135289212080064706018,stop,-1.036703022846787733351700781,-1.040532588073816633417877438,10
ranked,N025,2017-06-19,2017-06-20,2017-07-04,71.9727210950,66.69665939778125714038066991,77.05566083523819600247028176,189,5.27606169721874285961933009,1.890,1.412800557076381733235317336,-0.9580763806580686451667769859,target,0.9633965696264790820702816886,0.9615012165063153310665740909,14
ranked,N047,2017-01-02,2017-01-03,2017-01-05,51.6280091525,48.62439672820397243901457213,48.50283573638346250791703570,332,3.00361242429602756098542787,3.320,0.1199242101232229849686220174,-1.225479067380906672080183598,stop,-1.040471597079973066100477363,-1.043800921435908819891054625,2
ranked,N050,2017-01-02,2017-01-03,2017-01-17,83.9871632975,78.73701148439920264156695319,89.01422182282429536503696419,190,5.25015181310079735843304681,1.900,1.092630824157439597296156743,-0.3719256827254931939713536082,target,0.9575072691765191746129667114,0.9556025623497476473906029342,14
ranked,N109,2017-06-19,2017-06-20,2017-07-04,75.9858729550,71.70164153052280844491124570,80.06942911852849857620103241,233,4.28423142447719155508875430,2.330,1.324573647580790593930655727,-0.5655429679071715038321112329,target,0.9531595656102584249285763276,0.9508254246619271128311210054,14
ranked,N070,2017-03-27,2017-03-28,2017-04-04,127.9009118925,121.1598468015479419980265044,134.3053720409934278569685619,148,6.7410650909520580019734956,1.480,1.428557205362918500073011338,-0.8588934855815616496604940903,target,0.9500665046373123566474299547,0.9485830595340419364802004171,7
ranked,N109,2017-09-11,2017-09-12,2017-09-21,94.4522196950,88.10088069574619289885848302,87.88062849400682741661133681,157,6.35133899925380710114151698,1.570,0.3900048958638515254521366540,-1.439049103830516403294957985,stop,-1.034678073673164353936729367,-1.036252544820299605131705717,9
